Date,year,region,Temperature,Weather
3/22/2015,2015,BaltimoreWashington,32,sunny
3/15/2015,2015,BaltimoreWashington,31,sunny
3/8/2015,2015,BaltimoreWashington,29,sunny
3/1/2015,2015,BaltimoreWashington,-5,sunny
2/22/2015,2015,BaltimoreWashington,26,raining
2/15/2015,2015,BaltimoreWashington,27,sunny
2/8/2015,2015,BaltimoreWashington,23,cloudy
2/1/2015,2015,BaltimoreWashington,7,raining
1/25/2015,2015,BaltimoreWashington,19,sunny
1/18/2015,2015,BaltimoreWashington,4,cloudy
1/11/2015,2015,BaltimoreWashington,13,cloudy
1/4/2015,2015,BaltimoreWashington,22,sunny
12/27/2015,2015,Boise,10,sunny
12/20/2015,2015,Boise,4,raining
12/13/2015,2015,Boise,34,raining
12/6/2015,2015,Boise,20,cloudy
11/29/2015,2015,Boise,11,cloudy
11/22/2015,2015,Boise,8,cloudy
11/15/2015,2015,Boise,5,raining
11/8/2015,2015,Boise,32,cloudy
11/1/2015,2015,Boise,7,cloudy
10/25/2015,2015,Boise,33,sunny
10/18/2015,2015,Boise,3,cloudy
10/11/2015,2015,Boise,28,sunny
10/4/2015,2015,Boise,5,cloudy
9/27/2015,2015,Boise,12,raining
9/20/2015,2015,Boise,21,raining
9/13/2015,2015,Boise,-4,raining
9/6/2015,2015,Boise,-1,sunny
8/30/2015,2015,Boise,26,sunny
8/23/2015,2015,Boise,21,sunny
8/16/2015,2015,Boise,-2,sunny
8/9/2015,2015,Boise,24,raining
8/2/2015,2015,Boise,-2,cloudy
7/26/2015,2015,Boise,31,raining
7/19/2015,2015,Boise,2,raining
7/12/2015,2015,Boise,14,cloudy
7/5/2015,2015,Boise,12,sunny
6/28/2015,2015,Boise,9,sunny
6/21/2015,2015,Boise,24,raining
6/14/2015,2015,Boise,-5,sunny
6/7/2015,2015,Boise,19,cloudy
5/31/2015,2015,Boise,18,sunny
5/24/2015,2015,Boise,8,raining
5/17/2015,2015,Boise,35,raining
5/10/2015,2015,Boise,11,cloudy
5/3/2015,2015,Boise,10,sunny
4/26/2015,2015,Boise,17,raining
4/19/2015,2015,Boise,35,cloudy
4/12/2015,2015,Boise,-1,sunny
4/5/2015,2015,Boise,-5,raining
3/29/2015,2015,Boise,13,raining
3/22/2015,2015,Boise,25,raining
3/15/2015,2015,Boise,-3,raining
3/8/2015,2015,Boise,-5,raining
3/1/2015,2015,Boise,32,cloudy
2/22/2015,2015,Boise,8,raining
2/15/2015,2015,Boise,-1,raining
2/8/2015,2015,Boise,13,sunny
2/1/2015,2015,Boise,7,raining
1/25/2015,2015,Boise,-2,cloudy
1/18/2015,2015,Boise,27,sunny
1/11/2015,2015,Boise,0,cloudy
1/4/2015,2015,Boise,10,cloudy
12/27/2015,2015,Boston,-3,raining
12/20/2015,2015,Boston,13,cloudy
12/13/2015,2015,Boston,8,raining
12/6/2015,2015,Boston,26,sunny
11/29/2015,2015,Boston,9,sunny
11/22/2015,2015,Boston,-5,cloudy
11/15/2015,2015,Boston,16,raining
11/8/2015,2015,Boston,-5,sunny
11/1/2015,2015,Boston,28,cloudy
10/25/2015,2015,Boston,-4,raining
10/18/2015,2015,Boston,34,raining
10/11/2015,2015,Boston,27,cloudy
10/4/2015,2015,Boston,16,raining
9/27/2015,2015,Boston,0,sunny
9/20/2015,2015,Boston,18,sunny
9/13/2015,2015,Boston,7,sunny
9/6/2015,2015,Boston,12,raining
8/30/2015,2015,Boston,20,cloudy
8/23/2015,2015,Boston,32,sunny
8/16/2015,2015,Boston,-3,raining
8/9/2015,2015,Boston,24,sunny
8/2/2015,2015,Boston,32,raining
7/26/2015,2015,Boston,34,sunny
7/19/2015,2015,Boston,19,sunny
7/12/2015,2015,Boston,19,cloudy
7/5/2015,2015,Boston,4,sunny
6/28/2015,2015,Boston,13,sunny
6/21/2015,2015,Boston,23,sunny
6/14/2015,2015,Boston,-5,sunny
6/7/2015,2015,Boston,-3,cloudy
5/31/2015,2015,Boston,4,raining
5/24/2015,2015,Boston,1,sunny
5/17/2015,2015,Boston,18,sunny
5/10/2015,2015,Boston,12,cloudy
5/3/2015,2015,Boston,12,sunny
4/26/2015,2015,Boston,16,raining
4/19/2015,2015,Boston,7,cloudy
4/12/2015,2015,Boston,34,raining
4/5/2015,2015,Boston,6,cloudy
3/29/2015,2015,Boston,22,sunny
3/22/2015,2015,Boston,4,cloudy
3/15/2015,2015,Boston,26,cloudy
3/8/2015,2015,Boston,15,sunny
3/1/2015,2015,Boston,23,cloudy
2/22/2015,2015,Boston,24,raining
2/15/2015,2015,Boston,4,cloudy
2/8/2015,2015,Boston,4,sunny
2/1/2015,2015,Boston,14,sunny
1/25/2015,2015,Boston,32,raining
1/18/2015,2015,Boston,20,sunny
1/11/2015,2015,Boston,14,sunny
1/4/2015,2015,Boston,16,raining
12/27/2015,2015,BuffaloRochester,-2,cloudy
12/20/2015,2015,BuffaloRochester,0,cloudy
12/13/2015,2015,BuffaloRochester,18,raining
12/6/2015,2015,BuffaloRochester,-3,cloudy
11/29/2015,2015,BuffaloRochester,1,cloudy
11/22/2015,2015,BuffaloRochester,26,sunny
11/15/2015,2015,BuffaloRochester,15,cloudy
11/8/2015,2015,BuffaloRochester,22,cloudy
11/1/2015,2015,BuffaloRochester,23,cloudy
10/25/2015,2015,BuffaloRochester,22,sunny
10/18/2015,2015,BuffaloRochester,-1,raining
10/11/2015,2015,BuffaloRochester,24,cloudy
10/4/2015,2015,BuffaloRochester,15,sunny
9/27/2015,2015,BuffaloRochester,6,raining
9/20/2015,2015,BuffaloRochester,2,sunny
9/13/2015,2015,BuffaloRochester,5,cloudy
9/6/2015,2015,BuffaloRochester,6,cloudy
8/30/2015,2015,BuffaloRochester,18,cloudy
8/23/2015,2015,BuffaloRochester,11,cloudy
8/16/2015,2015,BuffaloRochester,21,cloudy
8/9/2015,2015,BuffaloRochester,0,sunny
8/2/2015,2015,BuffaloRochester,-2,cloudy
7/26/2015,2015,BuffaloRochester,28,sunny
7/19/2015,2015,BuffaloRochester,13,cloudy
7/12/2015,2015,BuffaloRochester,11,raining
7/5/2015,2015,BuffaloRochester,18,sunny
6/28/2015,2015,BuffaloRochester,7,cloudy
6/21/2015,2015,BuffaloRochester,17,sunny
6/14/2015,2015,BuffaloRochester,25,sunny
6/7/2015,2015,BuffaloRochester,23,raining
5/31/2015,2015,BuffaloRochester,11,cloudy
5/24/2015,2015,BuffaloRochester,28,raining
5/17/2015,2015,BuffaloRochester,22,raining
5/10/2015,2015,BuffaloRochester,10,cloudy
5/3/2015,2015,BuffaloRochester,30,sunny
4/26/2015,2015,BuffaloRochester,28,raining
4/19/2015,2015,BuffaloRochester,6,sunny
4/12/2015,2015,BuffaloRochester,10,raining
4/5/2015,2015,BuffaloRochester,11,sunny
3/29/2015,2015,BuffaloRochester,21,cloudy
3/22/2015,2015,BuffaloRochester,22,sunny
3/15/2015,2015,BuffaloRochester,7,cloudy
3/8/2015,2015,BuffaloRochester,9,sunny
3/1/2015,2015,BuffaloRochester,12,sunny
2/22/2015,2015,BuffaloRochester,-3,raining
2/15/2015,2015,BuffaloRochester,22,sunny
2/8/2015,2015,BuffaloRochester,10,cloudy
2/1/2015,2015,BuffaloRochester,19,cloudy
1/25/2015,2015,BuffaloRochester,-3,raining
1/18/2015,2015,BuffaloRochester,16,cloudy
1/11/2015,2015,BuffaloRochester,19,sunny
1/4/2015,2015,BuffaloRochester,-2,raining
12/27/2015,2015,California,-3,cloudy
12/20/2015,2015,California,33,sunny
12/13/2015,2015,California,18,raining
12/6/2015,2015,California,29,sunny
11/29/2015,2015,California,4,sunny
11/22/2015,2015,California,20,sunny
11/15/2015,2015,California,26,sunny
11/8/2015,2015,California,5,raining
11/1/2015,2015,California,3,raining
10/25/2015,2015,California,22,sunny
10/18/2015,2015,California,13,sunny
10/11/2015,2015,California,17,cloudy
10/4/2015,2015,California,3,raining
9/27/2015,2015,California,12,sunny
9/20/2015,2015,California,3,raining
9/13/2015,2015,California,17,sunny
9/6/2015,2015,California,-2,raining
8/30/2015,2015,California,0,sunny
8/23/2015,2015,California,24,cloudy
8/16/2015,2015,California,2,raining
8/9/2015,2015,California,-5,raining
8/2/2015,2015,California,35,cloudy
7/26/2015,2015,California,18,sunny
7/19/2015,2015,California,-3,sunny
7/12/2015,2015,California,26,sunny
7/5/2015,2015,California,-5,raining
6/28/2015,2015,California,1,raining
6/21/2015,2015,California,3,raining
6/14/2015,2015,California,6,cloudy
6/7/2015,2015,California,13,sunny
5/31/2015,2015,California,14,sunny
5/24/2015,2015,California,25,raining
5/17/2015,2015,California,29,sunny
5/10/2015,2015,California,8,sunny
5/3/2015,2015,California,11,cloudy
4/26/2015,2015,California,10,sunny
4/19/2015,2015,California,18,raining
4/12/2015,2015,California,5,cloudy
4/5/2015,2015,California,-3,raining
3/29/2015,2015,California,17,cloudy
3/22/2015,2015,California,25,raining
3/15/2015,2015,California,-5,cloudy
3/8/2015,2015,California,11,cloudy
3/1/2015,2015,California,24,cloudy
2/22/2015,2015,California,25,cloudy
2/15/2015,2015,California,34,raining
2/8/2015,2015,California,12,cloudy
2/1/2015,2015,California,8,raining
1/25/2015,2015,California,-4,sunny
1/18/2015,2015,California,18,raining
1/11/2015,2015,California,20,raining
1/4/2015,2015,California,34,sunny
12/27/2015,2015,Charlotte,0,cloudy
12/20/2015,2015,Charlotte,34,sunny
12/13/2015,2015,Charlotte,35,sunny
12/6/2015,2015,Charlotte,4,cloudy
11/29/2015,2015,Charlotte,9,raining
11/22/2015,2015,Charlotte,3,sunny
11/15/2015,2015,Charlotte,27,sunny
11/8/2015,2015,Charlotte,4,raining
11/1/2015,2015,Charlotte,6,sunny
10/25/2015,2015,Charlotte,-1,cloudy
10/18/2015,2015,Charlotte,-2,cloudy
10/11/2015,2015,Charlotte,4,cloudy
10/4/2015,2015,Charlotte,17,raining
9/27/2015,2015,Charlotte,17,cloudy
9/20/2015,2015,Charlotte,16,cloudy
9/13/2015,2015,Charlotte,20,sunny
9/6/2015,2015,Charlotte,-2,raining
8/30/2015,2015,Charlotte,34,sunny
8/23/2015,2015,Charlotte,-5,cloudy
8/16/2015,2015,Charlotte,13,cloudy
8/9/2015,2015,Charlotte,-1,raining
8/2/2015,2015,Charlotte,12,raining
7/26/2015,2015,Charlotte,7,cloudy
7/19/2015,2015,Charlotte,35,cloudy
7/12/2015,2015,Charlotte,15,raining
7/5/2015,2015,Charlotte,35,raining
6/28/2015,2015,Charlotte,35,cloudy
6/21/2015,2015,Charlotte,28,cloudy
6/14/2015,2015,Charlotte,15,sunny
6/7/2015,2015,Charlotte,6,cloudy
5/31/2015,2015,Charlotte,21,sunny
5/24/2015,2015,Charlotte,19,sunny
5/17/2015,2015,Charlotte,4,raining
5/10/2015,2015,Charlotte,35,sunny
5/3/2015,2015,Charlotte,11,cloudy
4/26/2015,2015,Charlotte,23,raining
4/19/2015,2015,Charlotte,4,raining
4/12/2015,2015,Charlotte,8,sunny
4/5/2015,2015,Charlotte,-2,raining
3/29/2015,2015,Charlotte,9,raining
3/22/2015,2015,Charlotte,-1,raining
3/15/2015,2015,Charlotte,26,raining
3/8/2015,2015,Charlotte,8,sunny
3/1/2015,2015,Charlotte,13,sunny
2/22/2015,2015,Charlotte,-4,raining
2/15/2015,2015,Charlotte,30,raining
2/8/2015,2015,Charlotte,0,raining
2/1/2015,2015,Charlotte,6,cloudy
1/25/2015,2015,Charlotte,34,raining
1/18/2015,2015,Charlotte,33,raining
1/11/2015,2015,Charlotte,28,sunny
1/4/2015,2015,Charlotte,-3,cloudy
12/27/2015,2015,Chicago,29,raining
12/20/2015,2015,Chicago,29,raining
12/13/2015,2015,Chicago,34,raining
12/6/2015,2015,Chicago,1,cloudy
11/29/2015,2015,Chicago,19,raining
11/22/2015,2015,Chicago,27,sunny
11/15/2015,2015,Chicago,33,cloudy
11/8/2015,2015,Chicago,4,raining
11/1/2015,2015,Chicago,-2,sunny
10/25/2015,2015,Chicago,-3,raining
10/18/2015,2015,Chicago,-4,cloudy
10/11/2015,2015,Chicago,-3,cloudy
10/4/2015,2015,Chicago,32,sunny
9/27/2015,2015,Chicago,26,raining
9/20/2015,2015,Chicago,34,cloudy
9/13/2015,2015,Chicago,29,raining
9/6/2015,2015,Chicago,29,cloudy
8/30/2015,2015,Chicago,10,sunny
8/23/2015,2015,Chicago,20,cloudy
8/16/2015,2015,Chicago,-1,raining
8/9/2015,2015,Chicago,0,sunny
8/2/2015,2015,Chicago,6,sunny
7/26/2015,2015,Chicago,24,raining
7/19/2015,2015,Chicago,-4,cloudy
7/12/2015,2015,Chicago,5,sunny
7/5/2015,2015,Chicago,3,cloudy
6/28/2015,2015,Chicago,28,raining
6/21/2015,2015,Chicago,33,raining
6/14/2015,2015,Chicago,6,sunny
6/7/2015,2015,Chicago,23,raining
5/31/2015,2015,Chicago,34,raining
5/24/2015,2015,Chicago,15,raining
5/17/2015,2015,Chicago,24,raining
5/10/2015,2015,Chicago,-3,cloudy
5/3/2015,2015,Chicago,7,sunny
4/26/2015,2015,Chicago,-5,raining
4/19/2015,2015,Chicago,29,sunny
4/12/2015,2015,Chicago,10,sunny
4/5/2015,2015,Chicago,5,sunny
3/29/2015,2015,Chicago,11,raining
3/22/2015,2015,Chicago,24,cloudy
3/15/2015,2015,Chicago,26,raining
3/8/2015,2015,Chicago,6,cloudy
3/1/2015,2015,Chicago,21,raining
2/22/2015,2015,Chicago,16,cloudy
2/15/2015,2015,Chicago,31,cloudy
2/8/2015,2015,Chicago,33,sunny
2/1/2015,2015,Chicago,30,sunny
1/25/2015,2015,Chicago,20,cloudy
1/18/2015,2015,Chicago,0,cloudy
1/11/2015,2015,Chicago,5,cloudy
1/4/2015,2015,Chicago,-5,sunny
12/27/2015,2015,CincinnatiDayton,17,cloudy
12/20/2015,2015,CincinnatiDayton,0,cloudy
12/13/2015,2015,CincinnatiDayton,-2,sunny
12/6/2015,2015,CincinnatiDayton,29,raining
11/29/2015,2015,CincinnatiDayton,-5,sunny
11/22/2015,2015,CincinnatiDayton,34,sunny
11/15/2015,2015,CincinnatiDayton,8,cloudy
11/8/2015,2015,CincinnatiDayton,19,raining
11/1/2015,2015,CincinnatiDayton,11,sunny
10/25/2015,2015,CincinnatiDayton,16,sunny
10/18/2015,2015,CincinnatiDayton,16,raining
10/11/2015,2015,CincinnatiDayton,5,sunny
10/4/2015,2015,CincinnatiDayton,35,sunny
9/27/2015,2015,CincinnatiDayton,6,raining
9/20/2015,2015,CincinnatiDayton,19,sunny
9/13/2015,2015,CincinnatiDayton,17,sunny
9/6/2015,2015,CincinnatiDayton,27,cloudy
8/30/2015,2015,CincinnatiDayton,-1,sunny
8/23/2015,2015,CincinnatiDayton,30,cloudy
8/16/2015,2015,CincinnatiDayton,24,cloudy
8/9/2015,2015,CincinnatiDayton,13,cloudy
8/2/2015,2015,CincinnatiDayton,4,cloudy
7/26/2015,2015,CincinnatiDayton,12,raining
7/19/2015,2015,CincinnatiDayton,34,raining
7/12/2015,2015,CincinnatiDayton,1,raining
7/5/2015,2015,CincinnatiDayton,28,sunny
6/28/2015,2015,CincinnatiDayton,19,sunny
6/21/2015,2015,CincinnatiDayton,7,raining
6/14/2015,2015,CincinnatiDayton,3,cloudy
6/7/2015,2015,CincinnatiDayton,29,raining
5/31/2015,2015,CincinnatiDayton,29,raining
5/24/2015,2015,CincinnatiDayton,17,raining
5/17/2015,2015,CincinnatiDayton,8,raining
5/10/2015,2015,CincinnatiDayton,0,raining
5/3/2015,2015,CincinnatiDayton,33,sunny
4/26/2015,2015,CincinnatiDayton,18,raining
4/19/2015,2015,CincinnatiDayton,18,sunny
4/12/2015,2015,CincinnatiDayton,19,raining
4/5/2015,2015,CincinnatiDayton,32,sunny
3/29/2015,2015,CincinnatiDayton,19,raining
3/22/2015,2015,CincinnatiDayton,-3,sunny
3/15/2015,2015,CincinnatiDayton,-5,raining
3/8/2015,2015,CincinnatiDayton,35,sunny
3/1/2015,2015,CincinnatiDayton,15,raining
2/22/2015,2015,CincinnatiDayton,-5,sunny
2/15/2015,2015,CincinnatiDayton,35,cloudy
2/8/2015,2015,CincinnatiDayton,12,sunny
2/1/2015,2015,CincinnatiDayton,26,raining
1/25/2015,2015,CincinnatiDayton,32,cloudy
1/18/2015,2015,CincinnatiDayton,0,cloudy
1/11/2015,2015,CincinnatiDayton,28,raining
1/4/2015,2015,CincinnatiDayton,11,cloudy
12/27/2015,2015,Columbus,8,sunny
12/20/2015,2015,Columbus,12,sunny
12/13/2015,2015,Columbus,34,cloudy
12/6/2015,2015,Columbus,35,cloudy
11/29/2015,2015,Columbus,30,raining
11/22/2015,2015,Columbus,1,cloudy
11/15/2015,2015,Columbus,11,cloudy
11/8/2015,2015,Columbus,6,sunny
11/1/2015,2015,Columbus,-1,sunny
10/25/2015,2015,Columbus,27,raining
10/18/2015,2015,Columbus,3,cloudy
10/11/2015,2015,Columbus,23,cloudy
10/4/2015,2015,Columbus,35,cloudy
9/27/2015,2015,Columbus,12,raining
9/20/2015,2015,Columbus,8,sunny
9/13/2015,2015,Columbus,18,sunny
9/6/2015,2015,Columbus,1,cloudy
8/30/2015,2015,Columbus,12,raining
8/23/2015,2015,Columbus,18,sunny
8/16/2015,2015,Columbus,-3,sunny
8/9/2015,2015,Columbus,26,sunny
8/2/2015,2015,Columbus,24,raining
7/26/2015,2015,Columbus,32,raining
7/19/2015,2015,Columbus,31,raining
7/12/2015,2015,Columbus,32,sunny
7/5/2015,2015,Columbus,-4,sunny
6/28/2015,2015,Columbus,4,sunny
6/21/2015,2015,Columbus,0,raining
6/14/2015,2015,Columbus,27,raining
6/7/2015,2015,Columbus,-5,raining
5/31/2015,2015,Columbus,34,raining
5/24/2015,2015,Columbus,35,raining
5/17/2015,2015,Columbus,21,raining
5/10/2015,2015,Columbus,16,raining
5/3/2015,2015,Columbus,8,raining
4/26/2015,2015,Columbus,30,raining
4/19/2015,2015,Columbus,3,cloudy
4/12/2015,2015,Columbus,30,sunny
4/5/2015,2015,Columbus,8,sunny
3/29/2015,2015,Columbus,18,sunny
3/22/2015,2015,Columbus,0,raining
3/15/2015,2015,Columbus,18,sunny
3/8/2015,2015,Columbus,16,sunny
3/1/2015,2015,Columbus,21,cloudy
2/22/2015,2015,Columbus,10,raining
2/15/2015,2015,Columbus,4,cloudy
2/8/2015,2015,Columbus,2,cloudy
2/1/2015,2015,Columbus,18,raining
1/25/2015,2015,Columbus,25,cloudy
1/18/2015,2015,Columbus,5,sunny
1/11/2015,2015,Columbus,29,sunny
1/4/2015,2015,Columbus,8,cloudy
12/27/2015,2015,DallasFtWorth,28,cloudy
12/20/2015,2015,DallasFtWorth,32,raining
12/13/2015,2015,DallasFtWorth,27,raining
12/6/2015,2015,DallasFtWorth,-4,cloudy
11/29/2015,2015,DallasFtWorth,17,sunny
11/22/2015,2015,DallasFtWorth,35,sunny
11/15/2015,2015,DallasFtWorth,-2,sunny
11/8/2015,2015,DallasFtWorth,19,raining
11/1/2015,2015,DallasFtWorth,29,raining
10/25/2015,2015,DallasFtWorth,31,raining
10/18/2015,2015,DallasFtWorth,1,raining
10/11/2015,2015,DallasFtWorth,22,cloudy
10/4/2015,2015,DallasFtWorth,-3,cloudy
9/27/2015,2015,DallasFtWorth,7,sunny
9/20/2015,2015,DallasFtWorth,6,sunny
9/13/2015,2015,DallasFtWorth,12,sunny
9/6/2015,2015,DallasFtWorth,22,sunny
8/30/2015,2015,DallasFtWorth,-3,cloudy
8/23/2015,2015,DallasFtWorth,4,raining
8/16/2015,2015,DallasFtWorth,34,sunny
8/9/2015,2015,DallasFtWorth,24,raining
8/2/2015,2015,DallasFtWorth,34,raining
7/26/2015,2015,DallasFtWorth,27,raining
7/19/2015,2015,DallasFtWorth,30,cloudy
7/12/2015,2015,DallasFtWorth,10,cloudy
7/5/2015,2015,DallasFtWorth,4,sunny
6/28/2015,2015,DallasFtWorth,18,sunny
6/21/2015,2015,DallasFtWorth,17,raining
6/14/2015,2015,DallasFtWorth,32,raining
6/7/2015,2015,DallasFtWorth,24,sunny
5/31/2015,2015,DallasFtWorth,18,cloudy
5/24/2015,2015,DallasFtWorth,16,raining
5/17/2015,2015,DallasFtWorth,-5,sunny
5/10/2015,2015,DallasFtWorth,12,cloudy
5/3/2015,2015,DallasFtWorth,6,sunny
4/26/2015,2015,DallasFtWorth,17,sunny
4/19/2015,2015,DallasFtWorth,28,sunny
4/12/2015,2015,DallasFtWorth,21,raining
4/5/2015,2015,DallasFtWorth,25,sunny
3/29/2015,2015,DallasFtWorth,25,raining
3/22/2015,2015,DallasFtWorth,11,cloudy
3/15/2015,2015,DallasFtWorth,1,cloudy
3/8/2015,2015,DallasFtWorth,24,cloudy
3/1/2015,2015,DallasFtWorth,10,sunny
2/22/2015,2015,DallasFtWorth,33,cloudy
2/15/2015,2015,DallasFtWorth,35,sunny
2/8/2015,2015,DallasFtWorth,16,cloudy
2/1/2015,2015,DallasFtWorth,2,sunny
1/25/2015,2015,DallasFtWorth,23,sunny
1/18/2015,2015,DallasFtWorth,7,raining
1/11/2015,2015,DallasFtWorth,22,cloudy
1/4/2015,2015,DallasFtWorth,2,cloudy
12/27/2015,2015,Denver,2,sunny
12/20/2015,2015,Denver,2,raining
